UNIQUEID,GRANTEEID,MODE,LtCallDt,LtCallST,CallDurS,CallDurM,TotalTime,LtCallR,LtCaseR,Date,HOUSEHOLD,HEALTHCARE,HEALTHCARE2,Q1,Q1 Num,Q2,Q2A,Q3_1,Q3_1B,Q3_2,Q3_2B,Q3_3A,Q3_3A2,Q3_3B,Q3_3B2,Q3_3C,Q3_3C2,Q3_3D,Q3_3D2,Q3_3E,Q3_3E2,Q3_3F,Q3_3F2,Q3_3G,Q3_3G2,Q3_3H,Q3_3H2,Q4_A,Q4_A2,Q4_B,Q4_B2,Q4_C,Q4_C2,Q4_D,Q4_D2,Q4_E,Q4_E2,Q4,Q5,Q6,Q7,Q8,EXPERIENCE,Q9,Q10,Q11A,Q11,Q13,Q14,Q15,Q16,INT99,Q12,INT
,14-NY-254,Online,20211028,13:43,621,10,621,,,12/31/2021,2,Yes,No,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,2,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Choose not to respond,I choose not to respond,Woman,,,'CO': Completed
,12-GA-029,IVR,20211101,16:38,329,5,329,,,12/31/2021,3,Yes,Yes,Average,3,No,Valid skip,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,0,Yes,Very Satisfied,Neither satisfied nor Dissatisfied,Dissatisfied,Negative comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,14-IL-198,Online,20211206,06:13,596,10,596,,,12/31/2021,1,No,Valid skip,Excellent,5,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Decline to provide comments,,,No,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),I choose not to respond,Man,,,'CO': Completed
,19-ZZ-070,Online,20211020,10:38,333,6,333,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,1,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,14-OH-266,Online,20211214,21:43,207,3,207,,,12/31/2021,1,No,Valid skip,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,18-CA-006,Online,20211104,11:12,258,4,258,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,1,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,Choose not to respond,Choose not to respond,I choose not to respond,I choose not to respond,,,'CO': Completed
,12-ID-032,Online,20211018,23:07,170,3,170,,,12/31/2021,4+,No,Valid skip,Above Average,4,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,1,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Decline to provide comments,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Woman,,,'CO': Completed
,14-OK-271,Online,20211026,08:28,725,12,725,,,12/31/2021,1,No,Valid skip,Below Average,2,No,Valid skip,Yes,Extremely Poor,Yes,Extremely Poor,Yes,Above Average,Yes,Extremely Poor,Yes,Extremely Poor,Yes,Extremely Poor,Yes,Extremely Poor,Yes,Extremely Poor,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Extremely Poor,No,Valid skip,Yes,Extremely Poor,0,Yes,Dissatisfied,Dissatisfied,Very Dissatisfied,Negative comments only,,,Yes,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,21-TX-292,Online,20211021,02:00,205,3,205,,,12/31/2021,1,No,Valid skip,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,0,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Decline to provide comments,,,No,,Multiracial or Biracial,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,21-TX-074,Online,20211124,01:00,835,14,835,,,12/31/2021,1,No,Valid skip,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,2,Yes,Very Dissatisfied,Very Dissatisfied,Satisfied,Both positive and negative comments,,,Yes,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,14-PA-277,Online,20211130,17:07,588,10,588,,,12/31/2021,2,No,Valid skip,Excellent,5,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Average,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,1,Yes,Satisfied,Satisfied,Neither satisfied nor Dissatisfied,Both positive and negative comments,,,Yes,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-KY-204,Online,20211214,11:15,236,4,240,,,12/31/2021,2,Yes,Yes,Above Average,4,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Above Average,No,Valid skip,No,Valid skip,Yes,Above Average,No,Valid skip,No,Valid skip,Yes,Above Average,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,I did not receive assistance,Yes,Excellent,0,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-VA-144,Online,20211105,21:34,203,3,203,,,12/31/2021,2,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,1,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
